HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.target_node,Answer.connected
302OLP89DZW0KCLPLO1XKPSH1RZACB,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:02 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:02 PDT 2018,,,36V4Q8R5ZLP72Y1RDCXZ157LIULMQK,A1VPJFCJDIXGW7,Submitted,Mon Jun 18 07:16:27 PDT 2018,Mon Jun 18 07:57:16 PDT 2018,Thu Jun 21 07:57:16 PDT 2018,,,,2449,100% (78/78),100% (78/78),0% (0/0),64,"63,66,49,62"
302OLP89DZW0KCLPLO1XKPSH1RZACB,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:02 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:02 PDT 2018,,,3EJPLAJKEN5ERNHQDS9V32M3XXQ6ZN,A3RBA581BHJDR8,Submitted,Mon Jun 18 07:13:03 PDT 2018,Mon Jun 18 07:14:02 PDT 2018,Thu Jun 21 07:14:02 PDT 2018,,,,59,0% (0/0),0% (0/0),0% (0/0),64,"63, 65, 66, 49"
302OLP89DZW0KCLPLO1XKPSH1RZACB,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:02 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:02 PDT 2018,,,3RJSC4XJ11JL6YBM4FMY5X5HJVX50F,AIK9W79I4TPJW,Submitted,Mon Jun 18 07:16:41 PDT 2018,Mon Jun 18 07:17:25 PDT 2018,Thu Jun 21 07:17:25 PDT 2018,,,,44,0% (0/0),0% (0/0),0% (0/0),64,"49, 63, 65, 66"
302U8RURJZQ334LEL917WN06L5ENV7,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:07 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:07 PDT 2018,,,31N2WW6R9SF9PN38TEHQT7U1B1YF36,AL8KOIH1DJ7D9,Submitted,Mon Jun 18 07:23:03 PDT 2018,Mon Jun 18 07:23:50 PDT 2018,Thu Jun 21 07:23:50 PDT 2018,,,,47,0% (0/0),0% (0/0),0% (0/0),193,"194,186,184"
302U8RURJZQ334LEL917WN06L5ENV7,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:07 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:07 PDT 2018,,,34YB12FSQZDGP97DAGSN7R3JC7BGMI,A2D6VL5XE0O4D3,Submitted,Mon Jun 18 07:13:00 PDT 2018,Mon Jun 18 07:52:23 PDT 2018,Thu Jun 21 07:52:23 PDT 2018,,,,2363,0% (0/0),0% (0/0),0% (0/0),193,"184, 186, 194"
302U8RURJZQ334LEL917WN06L5ENV7,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:07 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:07 PDT 2018,,,3WSELTNVR4RJSDKUXD1PXJN88K2AT9,AWFWUFAI33WB2,Submitted,Mon Jun 18 07:33:00 PDT 2018,Mon Jun 18 07:33:28 PDT 2018,Thu Jun 21 07:33:28 PDT 2018,,,,28,0% (0/0),0% (0/0),0% (0/0),193,"194, 186, 184"
307L9TDWJYHJRVJV1ZV1DS8NULLN3A,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:03 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:03 PDT 2018,,,3DH6GAKTYZEGA7RWJB4NMT6WW7QZYN,A2D6VL5XE0O4D3,Submitted,Mon Jun 18 07:32:38 PDT 2018,Mon Jun 18 08:12:24 PDT 2018,Thu Jun 21 08:12:24 PDT 2018,,,,2386,0% (0/0),0% (0/0),0% (0/0),80,"79, 46, 45 61, 47, 48, 62, 98, 118, 81, 117, 97"
307L9TDWJYHJRVJV1ZV1DS8NULLN3A,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:03 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:03 PDT 2018,,,3RSDURM96BBIZC00NOQA1J5E81LYEK,AL8KOIH1DJ7D9,Submitted,Mon Jun 18 07:40:12 PDT 2018,Mon Jun 18 07:42:12 PDT 2018,Thu Jun 21 07:42:12 PDT 2018,,,,120,0% (0/0),0% (0/0),0% (0/0),80,"97,117,118,81,62,48,47,61,45,79,78"
307L9TDWJYHJRVJV1ZV1DS8NULLN3A,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:03 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:03 PDT 2018,,,3VZLGYJEYMZRA21MEFIL3FZNU14ZXP,A1EOOTAGDRW618,Submitted,Mon Jun 18 07:57:23 PDT 2018,Mon Jun 18 08:01:49 PDT 2018,Thu Jun 21 08:01:49 PDT 2018,,,,266,0% (0/0),0% (0/0),0% (0/0),80,"97,117,118, 87, 98"
3087LXLJ6M5BMB7HKOU53P17PIF0FL,3K1KXTVNBKA0O1SZWN8YW0WDDJ31M0,Identify which numbered circles co-lie on a border,"From a map of numbered circles connected by lines, identify which numbers are co-lie on a boundary formed by dashed lines","image, write",$0.05 ,Mon Jun 18 07:10:01 PDT 2018,3,BatchId:3272551;OriginalHitTemplateId:920937333;,3600,259200,Mon Jun 25 07:10:01 PDT 2018,,,36TFCYNS45Z5JH1S8TCE38VIYBHXHR,AL8KOIH1DJ7D9,Submitted,Mon Jun 18 07:36:22 PDT 2018,Mon Jun 18 07:38:30 PDT 2018,Thu Jun 21 07:38:30 PDT 2018,,,,128,0% (0/0),0% (0/0),0% (0/0),12,"13,30,4,5"
