HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.target_node,Answer.connected
3QI9WAYOGQ0F4RYISXALJPUDRRC6SO,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3X66WABAJX7F3NZ34YN8BSUD987G3W,A1SNC8UL8YFRH5,Approved,Fri Jun 08 11:49:49 PDT 2018,Fri Jun 08 11:50:42 PDT 2018,Mon Jun 11 11:50:42 PDT 2018,2018-06-11 18:51:00 UTC,,,53,100% (6/6),100% (6/6),100% (6/6),1,"24, 6, 7, 26, 28, 2, 8, 9"
3QI9WAYOGQ0F4RYISXALJPUDRRC6SO,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3YHH42UU5C4Z8NE7W225MM1E2D90LR,A2K4ZR7Z3M57FG,Approved,Fri Jun 08 11:47:33 PDT 2018,Fri Jun 08 11:47:57 PDT 2018,Mon Jun 11 11:47:57 PDT 2018,2018-06-11 18:48:00 UTC,,,24,100% (88/88),100% (87/87),100% (87/87),1,"2,7,24"
3LN50BUKPV00AKLXNKCTD37ZU2ULPV,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3907X2AHF1UWVIWJ3HZQMR3D4LUP2Y,A7SM0NS3IFW96,Approved,Fri Jun 08 11:51:24 PDT 2018,Fri Jun 08 12:13:44 PDT 2018,Mon Jun 11 12:13:44 PDT 2018,2018-06-11 19:14:00 UTC,,,1340,100% (44/44),100% (44/44),100% (44/44),2,"1,3,7,36,9,4,"
3LN50BUKPV00AKLXNKCTD37ZU2ULPV,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3LRLIPTPERYKPUU734NXWS0CMZGAKP,A2K4ZR7Z3M57FG,Approved,Fri Jun 08 11:49:17 PDT 2018,Fri Jun 08 12:01:07 PDT 2018,Mon Jun 11 12:01:07 PDT 2018,2018-06-11 19:02:00 UTC,,,710,100% (88/88),100% (87/87),100% (87/87),2,"1,3"
3HY86PZXPY7JNMS3LWEZZCZHIPN1EK,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3E13VNJ1NOKXPBRJ7I9S8BSWQ1LI1Y,A7SM0NS3IFW96,Approved,Fri Jun 08 11:49:09 PDT 2018,Fri Jun 08 11:56:50 PDT 2018,Mon Jun 11 11:56:50 PDT 2018,2018-06-11 18:57:00 UTC,,,461,100% (44/44),100% (44/44),100% (44/44),3,"2,5,4 , 9"
3HY86PZXPY7JNMS3LWEZZCZHIPN1EK,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3LPW2N6LKUR1MKN22M0IU4TOWCC5UA,A1VPJFCJDIXGW7,Approved,Fri Jun 08 11:46:20 PDT 2018,Fri Jun 08 12:16:18 PDT 2018,Mon Jun 11 12:16:18 PDT 2018,2018-06-11 19:17:00 UTC,,,1798,100% (78/78),100% (78/78),100% (78/78),3,"2,5,4,1,7,6"
3ZURAPD288CBT0SZG7Y5HUKHUQ21F2,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3DUZQ9U6SND251ADJ8NVJ15ZO3TSVO,AFKZZEURTCR8U,Approved,Fri Jun 08 11:46:49 PDT 2018,Fri Jun 08 11:47:51 PDT 2018,Mon Jun 11 11:47:51 PDT 2018,2018-06-11 18:48:00 UTC,,,62,100% (13/13),100% (13/13),100% (13/13),4,30
3ZURAPD288CBT0SZG7Y5HUKHUQ21F2,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3PB5A5BD0WVX460Q6AQYO96TEAS7GR,A1PPJJHOPZQ3E5,Approved,Fri Jun 08 11:45:25 PDT 2018,Fri Jun 08 11:56:49 PDT 2018,Mon Jun 11 11:56:49 PDT 2018,2018-06-11 18:57:00 UTC,,,684,100% (79/79),100% (79/79),100% (79/79),4,"3,11,12,5,10,30"
3R15W654VDILAWMCNXRID8X9ZYGLQM,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3G2UL9A02E3V7DBKUXHCCIT4KWQ67P,AFKZZEURTCR8U,Approved,Fri Jun 08 11:48:06 PDT 2018,Fri Jun 08 11:59:23 PDT 2018,Mon Jun 11 11:59:23 PDT 2018,2018-06-11 19:00:00 UTC,,,677,100% (13/13),100% (13/13),100% (13/13),5,"3,4,12,13,15,16,17"
3R15W654VDILAWMCNXRID8X9ZYGLQM,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 11:44:16 PDT 2018,2,BatchId:3262286;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 11:44:16 PDT 2018,,,3GFK2QRXXA6EEOC7XMFJCSELHSNW50,AL7Q7Y08VEWY4,Approved,Fri Jun 08 11:47:24 PDT 2018,Fri Jun 08 11:47:56 PDT 2018,Mon Jun 11 11:47:56 PDT 2018,2018-06-11 18:48:00 UTC,,,32,100% (5/5),100% (5/5),100% (5/5),5,"3,4,12,13,15,16,17"
