HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.number
34R0BODSP1OIB4TMMJGB22CYUTCE5B,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,33TIN5LC05Z14G9JFDAO9543HDG9YE,A1LHDU0RM0ZUZV,Submitted,Tue Jun 19 11:28:17 PDT 2018,Tue Jun 19 11:28:25 PDT 2018,Fri Jun 22 11:28:25 PDT 2018,,,,8,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_10.jpg,191
34R0BODSP1OIB4TMMJGB22CYUTCE5B,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,3GLB5JMZFYKDLF10XNTKO1GP326DG2,A2HG1N3BVQO6I,Submitted,Tue Jun 19 11:31:11 PDT 2018,Tue Jun 19 11:31:15 PDT 2018,Fri Jun 22 11:31:15 PDT 2018,,,,4,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_10.jpg,191
34R0BODSP1OIB4TMMJGB22CYUTCE5B,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,3NGI5ARFTUUP6XENKDZCH8T8FWP1P3,A3O1I9MATO3ZZN,Submitted,Tue Jun 19 11:27:03 PDT 2018,Tue Jun 19 11:28:10 PDT 2018,Fri Jun 22 11:28:10 PDT 2018,,,,67,100% (57/57),100% (57/57),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_10.jpg,191
3IZPORCT1FYJ01IM9R1KQ6E7ERSRHH,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,3FTOP5WARGDTDXQ7THQS67OM15EJ0J,A3L3ZFL1NYFTCF,Submitted,Tue Jun 19 11:31:01 PDT 2018,Tue Jun 19 11:31:04 PDT 2018,Fri Jun 22 11:31:04 PDT 2018,,,,3,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_100.jpg,136
3IZPORCT1FYJ01IM9R1KQ6E7ERSRHH,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,3URFVVM1667ZTY7R9A7YJ80J0STZUL,A15OUPZLPQOQR3,Submitted,Tue Jun 19 11:27:40 PDT 2018,Tue Jun 19 11:28:05 PDT 2018,Fri Jun 22 11:28:05 PDT 2018,,,,25,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_100.jpg,136
3IZPORCT1FYJ01IM9R1KQ6E7ERSRHH,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,3WQQ9FUS6BJ5D3XY0TQQ1YBRCYGB8C,AENW881YO2H8S,Submitted,Tue Jun 19 11:29:17 PDT 2018,Tue Jun 19 11:29:21 PDT 2018,Fri Jun 22 11:29:21 PDT 2018,,,,4,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_100.jpg,136
3JHB4BPSFKYQ9UL3Y0OS8Z6EZSJ9Q9,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,3C2NJ6JBKB6WSXK6N2MYI2YI7N2N2A,A15OUPZLPQOQR3,Submitted,Tue Jun 19 11:29:09 PDT 2018,Tue Jun 19 11:29:14 PDT 2018,Fri Jun 22 11:29:14 PDT 2018,,,,5,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_102.jpg,140
3JHB4BPSFKYQ9UL3Y0OS8Z6EZSJ9Q9,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,3DL65MZB8E45W9ZVRW8L4SDV5MEECL,A3O1I9MATO3ZZN,Submitted,Tue Jun 19 11:29:38 PDT 2018,Tue Jun 19 11:30:47 PDT 2018,Fri Jun 22 11:30:47 PDT 2018,,,,69,100% (57/57),100% (57/57),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_102.jpg,140
3JHB4BPSFKYQ9UL3Y0OS8Z6EZSJ9Q9,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,3QBD8R3Z228ODWZ5SV5ZQ6VLHB54O4,A1C59M3HPCO503,Submitted,Tue Jun 19 11:32:17 PDT 2018,Tue Jun 19 11:33:13 PDT 2018,Fri Jun 22 11:33:13 PDT 2018,,,,56,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_102.jpg,140
3SZYX62S5GPX2PECZB25WSKH86875I,3N0K7CX2I3WYAIKT07K5QZEUVIJ5A2,Write the numbers shown in an image,Write the numbers shown in an image,"image, write, transcription",$0.01 ,Tue Jun 19 11:26:18 PDT 2018,3,BatchId:3274275;OriginalHitTemplateId:920937333;,600,259200,Tue Jun 26 11:26:18 PDT 2018,,,373ERPL3YPXBRU6BZONBS9CI8X4TRW,A1J9IYN46FX00O,Submitted,Tue Jun 19 11:29:51 PDT 2018,Tue Jun 19 11:31:48 PDT 2018,Fri Jun 22 11:31:48 PDT 2018,,,,117,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/miniature-monday/tmp/node_105.jpg,142
