HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.target_node,Answer.connected,Approve,Reject
3LN50BUKPV00AKLXNKCTD37ZU1DLPC,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,3I0BTBYZAYAJ8ML6FHRVGU3ABRSY0U,A1ENE99INLYD1G,Submitted,Fri Jun 08 08:42:34 PDT 2018,Fri Jun 08 08:43:32 PDT 2018,Mon Jun 11 08:43:32 PDT 2018,,,,58,0% (0/0),0% (0/0),0% (0/0),1,"24,6,7,28,8,9,2",,
3LN50BUKPV00AKLXNKCTD37ZU1DLPC,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,3K2755HG5TS77F55M3N26GGDZ5DFD9,A3O1I9MATO3ZZN,Submitted,Fri Jun 08 08:47:22 PDT 2018,Fri Jun 08 08:56:43 PDT 2018,Mon Jun 11 08:56:43 PDT 2018,,,,561,0% (0/0),0% (0/0),0% (0/0),1,"2,7,6,24",,
3NOEP8XAU4RVAE2M13FHOX2M1ANXPA,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,3GNCZX450JCL0LRNGWS5S9MBG83PAK,A2K4ZR7Z3M57FG,Submitted,Fri Jun 08 08:47:27 PDT 2018,Fri Jun 08 08:58:42 PDT 2018,Mon Jun 11 08:58:42 PDT 2018,,,,675,100% (1/1),0% (0/0),0% (0/0),2,"1,3",,
3NOEP8XAU4RVAE2M13FHOX2M1ANXPA,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,3XC1O3LBOTB0OWBYU4QF6X3JZNNLT3,A1TPCNI0K1EVYD,Submitted,Fri Jun 08 08:47:59 PDT 2018,Fri Jun 08 08:49:06 PDT 2018,Mon Jun 11 08:49:06 PDT 2018,,,,67,0% (0/0),0% (0/0),0% (0/0),2,"1, 3, 11, 9, 8, 28, 26",,
372AGES0I4UGMRI1EVJ6TS212SBXR2,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,358UUM7WR0SOTW94MLKANDK0GII7R0,A1PPJJHOPZQ3E5,Submitted,Fri Jun 08 09:38:24 PDT 2018,Fri Jun 08 10:10:47 PDT 2018,Mon Jun 11 10:10:47 PDT 2018,,,,1943,0% (0/0),0% (0/0),0% (0/0),3,"2,4,5,11,9",,
372AGES0I4UGMRI1EVJ6TS212SBXR2,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,3AQF3RZ55978M6QQCGFO0A6LIJP6F7,A1RU9BQLDZ1DSY,Submitted,Fri Jun 08 08:42:55 PDT 2018,Fri Jun 08 08:43:27 PDT 2018,Mon Jun 11 08:43:27 PDT 2018,,,,32,0% (0/0),0% (0/0),0% (0/0),3,"2,4",,
3SU800BH86HOTM96WBJJ4VTSCOSQU2,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,31QTRG6Q2U2MW3PQW26LVV4IJZ5PYT,A7SM0NS3IFW96,Submitted,Fri Jun 08 08:45:01 PDT 2018,Fri Jun 08 09:05:19 PDT 2018,Mon Jun 11 09:05:19 PDT 2018,,,,1218,0% (0/0),0% (0/0),0% (0/0),4,"3 , 11 , 12",,
3SU800BH86HOTM96WBJJ4VTSCOSQU2,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,36AHBNMV1S1D76M0RTFQV1NT5G4DY5,A3O1I9MATO3ZZN,Submitted,Fri Jun 08 08:50:57 PDT 2018,Fri Jun 08 08:58:53 PDT 2018,Mon Jun 11 08:58:53 PDT 2018,,,,476,0% (0/0),0% (0/0),0% (0/0),4,"3,5,11,12,30",,
3T2EL38U0M9GAQ311GU6O2SW669XQ1,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,323Q6SJS8J5OJVA78Z6SX1VBRX6HFK,AAC5XT7UY7B2K,Submitted,Fri Jun 08 08:46:44 PDT 2018,Fri Jun 08 08:54:03 PDT 2018,Mon Jun 11 08:54:03 PDT 2018,,,,439,0% (0/0),0% (0/0),0% (0/0),5,"3,4,12,13,15,16,17",,
3T2EL38U0M9GAQ311GU6O2SW669XQ1,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,3SKEMFQBZ4U6661S663J01UHWAZK8C,A3O1I9MATO3ZZN,Submitted,Fri Jun 08 08:53:40 PDT 2018,Fri Jun 08 09:01:15 PDT 2018,Mon Jun 11 09:01:15 PDT 2018,,,,455,0% (0/0),0% (0/0),0% (0/0),5,"3,4,12,17",,
37Y5RYYI0PUSN6IETKJBJ27XOUUXSQ,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,36PW28KO40LH3U2X7ICUYXN721ZEAM,A1LPOMSP3ZT7ES,Submitted,Fri Jun 08 08:40:52 PDT 2018,Fri Jun 08 08:41:47 PDT 2018,Mon Jun 11 08:41:47 PDT 2018,,,,55,0% (0/0),0% (0/0),0% (0/0),6,"1, 7, 24, 25, 26, 44",,
37Y5RYYI0PUSN6IETKJBJ27XOUUXSQ,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3RANCT1ZVG63B04B3WRVXQTG67EUBE,A2K4ZR7Z3M57FG,Submitted,Fri Jun 08 08:43:22 PDT 2018,Fri Jun 08 08:43:36 PDT 2018,Mon Jun 11 08:43:36 PDT 2018,,,,14,100% (1/1),0% (0/0),0% (0/0),6,25,,
3VGET1QSZ0ORF8TWVCPEMSXUSEBW79,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,3DQQ64TANHAI7YUQH1OXAYJ28R4WP0,A3GSIZ2GX4L1Z3,Submitted,Fri Jun 08 08:43:02 PDT 2018,Fri Jun 08 08:44:35 PDT 2018,Mon Jun 11 08:44:35 PDT 2018,,,,93,0% (0/0),0% (0/0),0% (0/0),7,"1,6,24,25,24,44,26",,
3VGET1QSZ0ORF8TWVCPEMSXUSEBW79,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:52 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:52 PDT 2018,,,3LEIZ60CDKO196JOBZC7NCD5KPQZ9Y,A6Z3OYZJOQJEY,Submitted,Fri Jun 08 08:43:43 PDT 2018,Fri Jun 08 08:45:08 PDT 2018,Mon Jun 11 08:45:08 PDT 2018,,,,85,0% (0/0),0% (0/0),0% (0/0),7,"1, 6, 24, 26, 25, 44,",,
30F94FBDNR9MP3SSDOWJ4ACR7AKTB2,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3JW0YLFXRU58R7RRTN2S2SRY1O6WWU,A3O1I9MATO3ZZN,Submitted,Fri Jun 08 08:40:30 PDT 2018,Fri Jun 08 08:51:14 PDT 2018,Mon Jun 11 08:51:14 PDT 2018,,,,644,0% (0/0),0% (0/0),0% (0/0),8,"9,10,28",,
30F94FBDNR9MP3SSDOWJ4ACR7AKTB2,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3NL0RFNU0GC5N5EQU3D6JPECUO0K42,A1XQ3L4RI6SZY5,Submitted,Fri Jun 08 08:44:13 PDT 2018,Fri Jun 08 08:45:45 PDT 2018,Mon Jun 11 08:45:45 PDT 2018,,,,92,0% (0/0),0% (0/0),0% (0/0),8,"2, 28, 9, 10",,
3OWZNK3RYLE7137LU0TI8DVPWIF2U1,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,30H4UDGLT37M2M0CDZIA10HBAPSMP1,A1PPJJHOPZQ3E5,Submitted,Fri Jun 08 08:46:43 PDT 2018,Fri Jun 08 08:57:32 PDT 2018,Mon Jun 11 08:57:32 PDT 2018,,,,649,0% (0/0),0% (0/0),0% (0/0),9,"11,10,8,2,3",,
3OWZNK3RYLE7137LU0TI8DVPWIF2U1,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3LYA37P8IRCP84ZZ9INTR3KI4GGBKY,A3O1I9MATO3ZZN,Submitted,Fri Jun 08 08:40:35 PDT 2018,Fri Jun 08 08:52:21 PDT 2018,Mon Jun 11 08:52:21 PDT 2018,,,,706,0% (0/0),0% (0/0),0% (0/0),9,"11,8,10",,
3X2LT8FDHW7VFMYF5HHK0STP3YHW8W,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3IOEN3P9S88HWRWI5H03B82RH98163,A2K4ZR7Z3M57FG,Submitted,Fri Jun 08 08:49:43 PDT 2018,Fri Jun 08 09:00:14 PDT 2018,Mon Jun 11 09:00:14 PDT 2018,,,,631,100% (1/1),0% (0/0),0% (0/0),10,8,,
3X2LT8FDHW7VFMYF5HHK0STP3YHW8W,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3KJYX6QCMA096YRNWEEHR0ECSJXVJQ,A7SM0NS3IFW96,Submitted,Fri Jun 08 08:45:04 PDT 2018,Fri Jun 08 08:50:56 PDT 2018,Mon Jun 11 08:50:56 PDT 2018,,,,352,0% (0/0),0% (0/0),0% (0/0),10,8,,
3ZG552ORAMT7EIWLZQ3N4ZX8APO2VQ,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3M0BCWMB8WLG34TGYW6WFEEDRNQWBG,AUMD7RLA1IREO,Submitted,Fri Jun 08 08:45:38 PDT 2018,Fri Jun 08 08:46:04 PDT 2018,Mon Jun 11 08:46:04 PDT 2018,,,,26,0% (0/0),0% (0/0),0% (0/0),11,"9, 2, 3, 4, 12, 10, 30",,
3ZG552ORAMT7EIWLZQ3N4ZX8APO2VQ,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3VFJCI1K40O7MPK5FOO4TQXTFL2RGO,A1VPJFCJDIXGW7,Submitted,Fri Jun 08 08:43:25 PDT 2018,Fri Jun 08 09:07:01 PDT 2018,Mon Jun 11 09:07:01 PDT 2018,,,,1416,0% (0/0),0% (0/0),0% (0/0),11,"12,9,4",,
3087LXLJ6M5BMB7HKOU53P17PXG0FG,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3OXV7EAXLFFD6UAXSLEMZ1HOFTL63Z,A1PPJJHOPZQ3E5,Submitted,Fri Jun 08 08:49:02 PDT 2018,Fri Jun 08 09:08:28 PDT 2018,Mon Jun 11 09:08:28 PDT 2018,,,,1166,0% (0/0),0% (0/0),0% (0/0),12,"4,13,30,11,10,5,13",,
3087LXLJ6M5BMB7HKOU53P17PXG0FG,3DOL9V5RNSIDYP787704IN0DAUPP2Y,Identify which numbered circles are connected by lines,"From a map of numbered circles connected by lines, identify which numbers are connected a particular number of interest.","image, write",$0.05 ,Fri Jun 08 08:37:53 PDT 2018,2,BatchId:3262045;OriginalHitTemplateId:920937333;,3600,259200,Fri Jun 15 08:37:53 PDT 2018,,,3Y5140Z9DY5063ALSKKI97AUTG8IPH,A2A0M30DSA7ZN,Submitted,Fri Jun 08 08:47:58 PDT 2018,Fri Jun 08 09:04:27 PDT 2018,Mon Jun 11 09:04:27 PDT 2018,,,,989,100% (1/1),0% (0/0),0% (0/0),12,"4, 5, 11, 10, 17, 13, 30",,
